age_group,question,options,correct_answer,feedback_correct,feedback_a,feedback_b,feedback_c,source_link
1-2,How many hours of sleep do toddlers (1–2 years) usually need in 24 hours?,a) 9–10 hours | b) 11–14 hours | c) 15–17 hours,b) 11–14 hours,Yes! Toddlers need 11–14 hours (including naps) for growth and brain health.,"Not quite — “9–10 hours” isn’t the best answer. The correct answer is 11–14 hours. Sleep supports memory, learning, and physical growth.",Yes! Toddlers need 11–14 hours (including naps) for growth and brain health.,"Not quite — “15–17 hours” isn’t the best answer. The correct answer is 11–14 hours. Sleep supports memory, learning, and physical growth.",https://www.cdc.gov/sleep/children.html
1-2,Why is naming objects during play important for toddlers?,a) It improves vocabulary | b) It makes play longer | c) It entertains parents,a) It improves vocabulary,Exactly! Naming objects builds language skills and helps toddlers connect words to meanings.,Exactly! Naming objects builds language skills and helps toddlers connect words to meanings.,Not quite — “It makes play longer” isn’t the best answer. The answer is vocabulary. Labeling objects during play boosts word learning.,Not quite — “It entertains parents” isn’t the best answer. The answer is vocabulary. Labeling objects during play boosts word learning.,https://www.zerotothree.org/resource/how-to-support-language-development/
1-2,Which activity best supports gross motor skills at age 1–2?,a) Drawing with crayons | b) Stacking blocks | c) Running and climbing,c) Running and climbing,"Correct! Active play builds strength, balance, and coordination.",Not quite — “Drawing with crayons” isn’t the best answer. The correct answer is running and climbing. Gross motor skills need whole-body movement.,Not quite — “Stacking blocks” isn’t the best answer. The correct answer is running and climbing. Gross motor skills need whole-body movement.,"Correct! Active play builds strength, balance, and coordination.",https://www.cdc.gov/ncbddd/actearly/milestones/milestones-2yr.html
1-2,What is the best way to handle toddler tantrums?,a) Ignore completely | b) Stay calm and help label feelings | c) Give them whatever they want,b) Stay calm and help label feelings,Yes! Staying calm and teaching emotion words builds self-regulation skills.,Not quite — “Ignore completely” isn’t the best answer. The answer is to stay calm and label feelings. This teaches toddlers to manage emotions.,Yes! Staying calm and teaching emotion words builds self-regulation skills.,Not quite — “Give them whatever they want” isn’t the best answer. The answer is to stay calm and label feelings. This teaches toddlers to manage emotions.,https://www.healthychildren.org/English/ages-stages/toddler/Pages/Temper-Tantrums.aspx
1-2,"At age 2, most children can usually:",a) Speak in 2-word sentences | b) Recite the alphabet | c) Read simple words,a) Speak in 2-word sentences,"Correct! At 2, toddlers often combine two words, like 'more milk.'","Correct! At 2, toddlers often combine two words, like 'more milk.'","Not quite — “Recite the alphabet” isn’t the best answer. The answer is 2-word sentences. Reading comes much later, but speech starts early.","Not quite — “Read simple words” isn’t the best answer. The answer is 2-word sentences. Reading comes much later, but speech starts early.",https://www.cdc.gov/ncbddd/actearly/milestones/milestones-2yr.html
1-2,Why is outdoor play important for toddlers?,a) It makes them tired | b) It supports health and brain development | c) It prevents tantrums,b) It supports health and brain development,"Yes! Outdoor play builds motor skills, reduces stress, and supports curiosity.",Not quite — “It makes them tired” isn’t the best answer. The answer is health and brain development. Active outdoor play supports whole-child growth.,"Yes! Outdoor play builds motor skills, reduces stress, and supports curiosity.",Not quite — “It prevents tantrums” isn’t the best answer. The answer is health and brain development. Active outdoor play supports whole-child growth.,https://www.healthychildren.org/English/family-life/Media/Pages/Why-to-Encourage-Outdoor-Play.aspx
1-2,How many words should most toddlers know by age 2?,a) About 20–30 words | b) About 50 words | c) Over 200 words,b) About 50 words,"Yes! By 24 months, most toddlers use about 50 words and start combining them.",Not quite — “About 20–30 words” isn’t the best answer. The answer is about 50 words. This milestone shows rapid language growth.,"Yes! By 24 months, most toddlers use about 50 words and start combining them.",Not quite — “Over 200 words” isn’t the best answer. The answer is about 50 words. This milestone shows rapid language growth.,https://www.healthychildren.org/English/ages-stages/toddler/Pages/Language-Development-From-12-to-24-Months.aspx
1-2,Which fine motor skill develops around 18–24 months?,a) Holding a spoon | b) Writing letters | c) Using scissors,a) Holding a spoon,"Correct! By this age, toddlers can self-feed using a spoon.","Correct! By this age, toddlers can self-feed using a spoon.",Not quite — “Writing letters” isn’t the best answer. The answer is holding a spoon. Writing and scissor use come much later.,Not quite — “Using scissors” isn’t the best answer. The answer is holding a spoon. Writing and scissor use come much later.,https://www.cdc.gov/ncbddd/actearly/milestones/milestones-18mo.html
1-2,Why are routines important for toddlers?,a) They prevent boredom | b) They create security and predictability | c) They make parents less busy,b) They create security and predictability,Yes! Routines help toddlers feel safe and understand what comes next.,Not quite — “They prevent boredom” isn’t the best answer. The answer is security and predictability. Routines reduce stress and guide behavior.,Yes! Routines help toddlers feel safe and understand what comes next.,Not quite — “They make parents less busy” isn’t the best answer. The answer is security and predictability. Routines reduce stress and guide behavior.,https://www.zerotothree.org/resource/creating-routines-for-love-and-learning/
1-2,What type of play helps toddlers build social skills?,a) Parallel play | b) Solitary play only | c) Competitive games,a) Parallel play,Correct! Toddlers often play side-by-side. This stage prepares them for group play.,Correct! Toddlers often play side-by-side. This stage prepares them for group play.,Not quite — “Solitary play only” isn’t the best answer. The answer is parallel play. It’s a natural step before true cooperative play.,Not quite — “Competitive games” isn’t the best answer. The answer is parallel play. It’s a natural step before true cooperative play.,https://www.naeyc.org/resources/topics/play
3-5,How much daily physical activity is recommended for preschoolers (3–5 years)?,a) At least 30 minutes | b) At least 3 hours | c) No need if they attend preschool,b) At least 3 hours,Yes! Preschoolers need 3+ hours of activity spread throughout the day.,"Not quite — “At least 30 minutes” isn’t the best answer. The correct answer is 3 hours. Active play builds strength, coordination, and brain health.",Yes! Preschoolers need 3+ hours of activity spread throughout the day.,"Not quite — “No need if they attend preschool” isn’t the best answer. The correct answer is 3 hours. Active play builds strength, coordination, and brain health.",https://www.health.gov.au/resources/publications/24-hour-movement-guidelines-for-the-early-years-birth-to-5-years
3-5,Why is pretend play important for preschoolers?,a) It wastes time | b) It builds imagination and social skills | c) It makes them sleepy,b) It builds imagination and social skills,"Correct! Pretend play supports problem-solving, empathy, and creativity.",Not quite — “It wastes time” isn’t the best answer. The answer is imagination and social skills. Pretend play is key for cognitive growth.,"Correct! Pretend play supports problem-solving, empathy, and creativity.",Not quite — “It makes them sleepy” isn’t the best answer. The answer is imagination and social skills. Pretend play is key for cognitive growth.,https://www.zerotothree.org/resource/the-power-of-pretend-play/
3-5,What bedtime routine best supports preschool sleep?,a) Screen time before bed | b) Consistent routine with reading | c) Random sleep times,b) Consistent routine with reading,Yes! Calm routines with reading improve sleep quality and language skills.,Not quite — “Screen time before bed” isn’t the best answer. The answer is consistent routine with reading. Screens before bed can disrupt sleep.,Yes! Calm routines with reading improve sleep quality and language skills.,Not quite — “Random sleep times” isn’t the best answer. The answer is consistent routine with reading. Screens before bed can disrupt sleep.,https://www.sleepfoundation.org/children-and-sleep/bedtime-routines-for-children
3-5,Which skill do preschoolers typically develop by age 4?,a) Tying shoelaces | b) Drawing simple shapes | c) Reading full sentences,b) Drawing simple shapes,"Correct! By 4, many children can draw circles and simple figures.",Not quite — “Tying shoelaces” isn’t the best answer. The answer is drawing simple shapes. Reading sentences usually comes later.,"Correct! By 4, many children can draw circles and simple figures.",Not quite — “Reading full sentences” isn’t the best answer. The answer is drawing simple shapes. Reading sentences usually comes later.,https://www.cdc.gov/ncbddd/actearly/milestones/milestones-4yr.html
3-5,How can parents best support preschool attention span?,"a) Long lectures | b) Short, focused play activities | c) Unlimited free play only","b) Short, focused play activities","Yes! Preschoolers build focus through short, structured tasks.","Not quite — “Long lectures” isn’t the best answer. The answer is short, focused play. Attention span grows gradually with practice.","Yes! Preschoolers build focus through short, structured tasks.","Not quite — “Unlimited free play only” isn’t the best answer. The answer is short, focused play. Attention span grows gradually with practice.",https://www.zerotothree.org/resource/helping-your-child-build-concentration-skills/
3-5,What is the role of stories and reading at this age?,a) Just entertainment | b) Builds vocabulary and comprehension | c) Delays bedtime,b) Builds vocabulary and comprehension,"Correct! Daily reading grows language, imagination, and early literacy.",Not quite — “Just entertainment” isn’t the best answer. The answer is vocabulary and comprehension. Story time is powerful learning.,"Correct! Daily reading grows language, imagination, and early literacy.",Not quite — “Delays bedtime” isn’t the best answer. The answer is vocabulary and comprehension. Story time is powerful learning.,https://www.readingrockets.org/article/reading-aloud-build-comprehension
3-5,Which type of play supports problem-solving and creativity?,a) Pretend play | b) Passive TV watching | c) Repetitive drills,a) Pretend play,Yes! Pretend play encourages flexible thinking and problem-solving.,Yes! Pretend play encourages flexible thinking and problem-solving.,Not quite — “Passive TV watching” isn’t the best answer. The answer is pretend play. It fosters imagination and creativity.,Not quite — “Repetitive drills” isn’t the best answer. The answer is pretend play. It fosters imagination and creativity.,https://www.naeyc.org/resources/topics/play
3-5,"By age 5, most children can:",a) Count 10 or more objects | b) Write full paragraphs | c) Solve multiplication,a) Count 10 or more objects,Correct! Preschoolers can often count to 10 and recognize numbers.,Correct! Preschoolers can often count to 10 and recognize numbers.,Not quite — “Write full paragraphs” isn’t the best answer. The answer is counting 10 or more objects. More advanced math comes later.,Not quite — “Solve multiplication” isn’t the best answer. The answer is counting 10 or more objects. More advanced math comes later.,https://www.cdc.gov/ncbddd/actearly/milestones/milestones-5yr.html
3-5,Why is outdoor play important for preschoolers?,"a) It reduces screen time only | b) It builds physical, social, and emotional health | c) It makes bedtime earlier","b) It builds physical, social, and emotional health","Yes! Outdoor play supports coordination, social interaction, and stress relief.",Not quite — “It reduces screen time only” isn’t the best answer. The answer is health in all areas. Outdoor play is essential for well-rounded development.,"Yes! Outdoor play supports coordination, social interaction, and stress relief.",Not quite — “It makes bedtime earlier” isn’t the best answer. The answer is health in all areas. Outdoor play is essential for well-rounded development.,https://www.healthychildren.org/English/family-life/Media/Pages/Why-to-Encourage-Outdoor-Play.aspx
3-5,How can parents encourage self-regulation in preschoolers?,a) Help children name feelings | b) Punish every mistake | c) Avoid talking about emotions,a) Help children name feelings,Correct! Naming feelings builds emotional awareness and control.,Correct! Naming feelings builds emotional awareness and control.,Not quite — “Punish every mistake” isn’t the best answer. The answer is naming feelings. Emotional coaching builds resilience.,Not quite — “Avoid talking about emotions” isn’t the best answer. The answer is naming feelings. Emotional coaching builds resilience.,https://www.zerotothree.org/resource/helping-young-children-channel-their-anger/
